User_ID,Experience_Level,Category,Platform,Enrollment_Date,Completion_Date,Hours_Spent_Per_Week,Course_Duration_Weeks,Videos_Watched,Assignments_Submitted,Quiz_Score,Engagement_Score,Completion_Status,Completion_Percentage,Certificate_Issued,Dropout_Reason,Satisfaction_Score
U0001,Fresher,Machine Learning,Skillshare,05/30/2024,07/03/2024,16,8,80,8,88,93,Completed,67,Yes,No Dropout,5
U0002,Fresher,Data Science,edX,12/03/2024,,17,22,21,5,39,14,Dropped,38,No,Time Constraint,2
U0003,Fresher,SQL,Coursera,06/05/2024,,19,21,30,1,25,68,In Progress,43,No,No Dropout,3
U0004,Student,Artificial Intelligence,Udemy,03/01/2024,,14,2,13,2,33,43,Dropped,14,No,Time Constraint,2
U0005,Student,Statistics,Skillshare,07/30/2024,,8,10,12,3,46,24,Dropped,8,No,Too Difficult,2
U0006,Working Professional,Statistics,Coursera,11/22/2024,,11,11,25,3,64,55,In Progress,53,No,No Dropout,3
U0007,Working Professional,Power BI,YouTube,09/09/2024,,12,19,52,0,34,15,Dropped,34,No,Too Difficult,1
U0008,Fresher,Artificial Intelligence,Skillshare,08/07/2024,,1,17,17,0,62,26,Dropped,37,No,Too Difficult,2
U0009,Fresher,Power BI,Skillshare,02/07/2024,06/04/2024,12,14,120,7,75,76,Completed,51,Yes,No Dropout,5
U0010,Working Professional,Statistics,edX,05/06/2024,07/04/2024,5,15,116,10,93,99,Completed,98,Yes,No Dropout,4
U0011,Student,Tableau,Skillshare,07/15/2024,,13,20,40,3,63,70,In Progress,71,No,No Dropout,3
U0012,Student,Statistics,edX,09/18/2024,,6,3,21,0,56,59,In Progress,34,No,No Dropout,4
U0013,Fresher,Python,Coursera,01/26/2025,,19,5,41,4,53,34,Dropped,27,No,Time Constraint,3
U0014,Working Professional,SQL,edX,04/11/2024,,16,5,38,1,40,65,In Progress,79,No,No Dropout,4
U0015,Fresher,Statistics,Skillshare,03/08/2024,,2,15,17,5,43,64,In Progress,37,No,No Dropout,3
U0016,Fresher,Statistics,Udemy,02/25/2025,,20,14,20,2,27,43,Dropped,27,No,Too Difficult,3
U0017,Working Professional,SQL,Udemy,07/02/2024,,12,15,36,2,39,45,Dropped,19,No,Too Difficult,1
U0018,Working Professional,Artificial Intelligence,Udemy,03/01/2025,05/28/2025,7,20,76,8,95,89,Completed,38,Yes,No Dropout,4
U0019,Working Professional,Tableau,Coursera,01/31/2024,03/11/2024,7,16,80,7,82,98,Completed,53,Yes,No Dropout,4
U0020,Working Professional,Artificial Intelligence,YouTube,05/30/2024,,16,10,16,0,63,33,Dropped,36,No,Time Constraint,2
U0021,Student,Power BI,Skillshare,11/01/2024,01/24/2025,8,11,94,9,75,81,Completed,43,Yes,No Dropout,5
U0022,Student,Python,Skillshare,05/21/2024,08/25/2024,1,7,94,8,86,88,Completed,82,Yes,No Dropout,4
U0023,Working Professional,Machine Learning,Udemy,04/02/2025,,11,9,56,4,41,67,In Progress,31,No,No Dropout,4
U0024,Student,Statistics,YouTube,06/02/2024,08/02/2024,7,16,78,10,72,97,Completed,45,Yes,No Dropout,5
U0025,Fresher,Artificial Intelligence,edX,09/11/2024,01/07/2025,18,15,95,8,89,83,Completed,39,Yes,No Dropout,5
U0026,Fresher,Power BI,YouTube,02/28/2025,04/15/2025,3,5,90,7,81,100,Completed,66,Yes,No Dropout,5
U0027,Fresher,Data Science,Coursera,03/13/2024,,6,15,53,3,30,43,Dropped,7,No,Lost Interest,3
U0028,Fresher,Machine Learning,Udemy,07/18/2024,,17,17,60,2,25,54,In Progress,86,No,No Dropout,3
U0029,Fresher,Artificial Intelligence,YouTube,09/04/2024,,12,19,48,2,28,38,Dropped,35,No,No Dropout,2
U0030,Student,Statistics,Skillshare,04/05/2024,05/11/2024,20,20,76,10,85,91,Completed,63,Yes,No Dropout,4
U0031,Working Professional,Machine Learning,Udemy,11/29/2024,,13,5,27,5,26,50,In Progress,68,No,No Dropout,3
U0032,Fresher,Power BI,edX,10/21/2024,,12,14,55,2,64,62,In Progress,49,No,No Dropout,3
U0033,Fresher,SQL,edX,05/25/2024,,18,16,39,3,65,54,In Progress,95,No,No Dropout,3
U0034,Working Professional,Power BI,Skillshare,11/19/2024,,5,14,17,3,42,22,Dropped,8,No,Too Difficult,1
U0035,Fresher,SQL,YouTube,04/03/2025,,12,4,48,0,42,23,Dropped,35,No,Lost Interest,3
U0036,Fresher,Data Science,Skillshare,02/17/2025,03/25/2025,4,15,115,9,82,88,Completed,84,Yes,No Dropout,5
U0037,Fresher,Statistics,Skillshare,01/24/2025,03/10/2025,3,21,100,7,78,97,Completed,45,Yes,No Dropout,5
U0038,Student,Statistics,Udemy,10/03/2024,,17,24,50,3,47,15,Dropped,37,No,Lost Interest,3
U0039,Student,Artificial Intelligence,Udemy,02/15/2024,,6,11,18,4,64,31,Dropped,5,No,No Dropout,1
U0040,Fresher,Statistics,YouTube,04/10/2025,,3,2,58,3,49,45,In Progress,73,No,No Dropout,3
U0041,Working Professional,Machine Learning,YouTube,04/03/2024,,15,24,18,4,34,24,Dropped,20,No,Lost Interest,2
U0042,Student,SQL,Skillshare,05/29/2024,08/19/2024,3,21,98,8,88,92,Completed,85,Yes,No Dropout,5
